,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
DTC,1241299,1939528,2325088,1723318,913792,400976,160538,80603,43606,34900,26861,24001,21774,17574,13528,11426,10017,7010,5601,4499,2689,2240,1223,1413,762,946,570,486,463,498,361,79,33,0
ITC,275799,365080,509904,533422,440423,288084,163879,89463,40229,21521,11039,4919,1744,1188,367,101,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2a,1085819,2178383,3097057,2472727,1439989,875661,591709,427223,257501,141638,69984,29208,13468,6434,3715,2767,2772,3404,2200,987,450,430,198,256,385,50,63,129,295,0,0,0,0,0
L2b,896146,1702761,2139265,1537329,887813,580056,392393,242805,128908,59082,22017,9376,3985,2473,1414,968,379,122,369,228,83,422,233,202,762,670,66,144,268,0,0,0,0,0
L2c,1222668,2449818,3324308,2381659,1309588,869371,680952,515238,324375,181243,76577,27882,10329,5559,2174,1149,621,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3a,1318033,2816041,4170970,3032271,1512318,885053,707946,585914,442125,260170,127441,53452,20887,7444,3092,2773,1489,697,555,194,55,5,6,15,0,0,0,0,0,0,0,0,0,0
L3b,1850072,3647990,4292000,2571266,1161940,682633,484661,351756,219792,113241,51851,20776,7418,3961,1252,450,136,168,83,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L4a,1663239,3114127,3531371,2108284,843553,319839,131981,61306,29025,10797,4538,1956,886,421,268,225,277,204,54,43,16,17,2,4,13,0,0,0,0,0,0,0,0,0
L4b,1917211,3131292,2832371,1488955,631185,268616,125294,55319,25464,9795,3622,1214,811,1079,131,116,44,15,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L4c,831370,1355664,1396188,879328,434448,196986,78163,30777,11293,4228,2541,1390,869,536,134,146,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L5ET,885824,1652733,2121734,1517050,846238,508144,371503,311910,280122,258283,242973,226191,200439,186146,178333,151753,121599,98244,81991,61273,48772,33263,21129,12688,8040,3973,2145,1477,983,511,212,31,65,78
L5NP,118299,205923,155218,75515,39548,23677,15482,8101,4536,1998,1137,716,271,167,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L5a,902937,1659508,1925218,1240044,609938,303022,176999,111172,70462,36893,22456,15895,11049,9623,7156,7192,5751,4674,3895,2367,2294,1151,748,510,374,445,284,277,301,257,24,0,0,0
L5b,738980,1229493,1262057,747669,395149,218483,122919,63253,31267,15070,9205,4058,1523,1051,748,205,482,340,187,200,150,38,143,277,0,0,0,0,0,0,0,0,0,0
L6short-a,938666,1854547,2217259,1361459,623403,279729,128981,54720,24338,13049,5212,4591,2110,1194,706,623,167,33,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L6short-b,587773,1047930,999595,570858,324794,190502,104080,57699,30197,13775,8574,3668,1799,510,533,746,588,232,494,80,96,113,0,0,0,0,0,0,0,0,0,0,0,0
L6tall-a,1534434,2750910,2319793,1224099,731401,542820,405984,301097,199433,132069,78708,39889,21233,9333,4550,1904,910,420,310,291,110,201,95,17,0,0,0,0,0,0,0,0,0,0
L6tall-b,464647,774461,647931,358730,227065,179579,130299,98260,71548,43533,27455,15969,8876,4367,2198,892,346,240,343,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L6tall-c,1233678,2163244,1797193,1022236,686075,527985,401734,295319,203898,115301,57646,27801,12475,5691,2898,933,177,43,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTC,2985825,4265070,4067655,2326053,925055,310065,106441,31111,12445,3774,1977,1531,687,530,339,577,572,495,269,147,125,34,24,70,23,0,0,0,0,0,0,0,0,0
STC,182943,316608,433141,294383,151375,49220,14504,2873,2555,746,596,447,284,47,20,26,213,72,196,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
