cell_id,1,2,3,4,5,6,7,8,9,10
processed_Neuron-1-E-and-I-synapses.eswc.swc,0,52,1645,1742,784,1176,655,282,141,636
processed_Neuron-10-E-and-I-synapses.eswc.swc,0,6,24,229,1773,2276,1747,896,99,212
processed_Neuron-11-E-synapses.eswc.swc,0,7,186,228,1404,2397,1472,107,303,213
processed_Neuron-12-E-synapses.eswc.swc,0,0,22,777,1131,1138,570,246,458,583
processed_Neuron-2-E-and-I-synapses.eswc.swc,0,1,202,239,1005,2611,811,898,598,173
processed_Neuron-3-E-and-I-synapses.eswc.swc,0,3,23,457,873,1123,1149,1099,572,139
processed_Neuron-4-E-and-I-synapses.eswc.swc,0,1,123,356,1369,2619,860,490,343,246
processed_Neuron-5-E-and-I-synapses.eswc.swc,0,10,25,518,1399,2174,272,367,463,150
processed_Neuron-6-E-and-I-synapses.eswc.swc,0,129,19,51,552,1647,1340,1092,1132,643
processed_Neuron-7-E-and-I-synapses.eswc.swc,0,3,12,429,369,1243,1054,505,373,207
processed_Neuron-8-E-and-I-synapses.eswc.swc,0,0,78,7,140,1334,2873,912,269,195
processed_Neuron-9-E-and-I-synapses.eswc.swc,0,1,27,471,1230,1060,2289,1936,578,649
